ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,col√®re,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur
UCA02,1,625,125,5.12,1.28,0.48,0,0,0,5.44,1.12,0.96,0.32,0.96,0.48,0,4.16,0.8,1.28,0
POF01,1,463,20.13,28.51,3.67,0.22,0,0,0,22.25,1.73,5.83,1.73,0.86,3.02,0.86,11.02,2.81,1.73,0
LYO06,1,529,17.06,23.63,1.51,0.95,0,0.76,0,18.9,3.78,3.78,1.32,3.4,1.13,0.95,9.45,2.08,2.84,0
OCM03,1,556,16.85,21.94,3.42,0,0,0,0.18,18.17,3.78,3.42,1.8,1.8,1.8,1.08,9.17,2.88,2.52,0
OCM06,1,550,13.75,25.09,3.27,2.36,0,0.55,0.73,22.18,3.64,3.64,1.09,1.64,2.36,0.18,12,2.18,2,0
BOD15,1,626,14.9,23.96,3.19,0.8,0,0,0.16,23.96,3.99,4.47,2.72,2.08,2.08,0.48,9.58,4.63,1.44,0
ALS02,1,637,18.74,21.04,4.71,1.26,0,0.31,0.31,22.61,1.57,2.98,1.88,2.35,1.57,2.2,11.93,4.08,3.3,0
SPC03,1,447,18.63,25.95,2.01,2.46,1.34,0.22,0.45,25.28,2.68,3.36,1.79,2.68,2.91,1.34,12.53,2.91,0.45,0
CFE10,1,445,445,24.49,3.82,1.12,0,0,0.45,17.3,2.92,0.9,0.67,0.9,2.25,1.57,8.76,2.02,2.7,0
OCM19,1,566,18.87,24.73,3.36,1.41,0.35,0.71,0.35,19.79,2.3,2.47,1.94,2.47,2.12,0.35,10.95,2.83,1.94,0
LOR03,1,552,15.77,22.46,3.8,1.27,0.18,0.18,0.36,25.18,4.17,6.7,2.36,2.17,4.53,0.91,9.24,4.17,1.45,0
OCM07,1,577,18.03,27.38,4.85,2.6,0.17,1.04,0,20.62,2.77,4.16,1.73,1.56,3.12,1.21,10.92,3.12,1.21,0
LYO08,1,536,15.76,22.95,3.54,0.56,0.56,0.19,0,18.47,2.43,2.8,1.12,2.05,1.49,0.75,11.01,2.05,1.49,0
LYO02,1,530,17.67,21.32,3.58,0.75,0.19,0.19,0.19,27.55,4.91,4.34,2.26,2.64,3.4,0.75,13.02,3.58,1.51,0
OCM10,1,477,18.35,25.16,3.14,1.26,0,0,0,18.87,2.1,2.31,1.05,1.47,2.52,0.84,11.53,1.89,2.1,0
BOD08,1,457,11.72,23.41,3.06,1.31,0,0.44,0,13.79,2.41,1.75,0.88,0.66,0.88,1.09,10.5,1.75,2.19,0
UCA10,1,290,19.33,32.76,4.14,0,0,0,0,16.9,5.17,0.34,5.17,4.83,1.03,0,6.9,8.97,0,0
UCA05,1,610,122,2.13,0,17.21,0,0,17.21,0.33,0,0.16,0,0.16,0,0,0.16,0,0,0
GRE12,1,570,15,26.14,2.11,1.75,0,0.18,0,16.14,3.16,3.86,1.23,1.4,2.28,1.05,9.3,0.53,1.93,0
SOU08,1,582,18.19,22.85,2.75,0.34,0,0.17,0.17,17.18,2.75,2.06,1.37,1.89,1.2,0.34,11.17,2.92,0.86,0
UPS04,1,451,12.89,31.26,2,2,0.22,1.11,0.22,24.39,4.21,3.55,2.22,2,2.22,1.11,12.2,1.33,1.77,0
NOR02,1,473,15.77,26.22,3.17,0.21,0,0,0,19.66,4.02,2.75,1.9,2.75,2.54,0.21,9.09,3.38,1.48,0
NOR07,1,438,24.33,31.05,6.16,0.91,0.23,0.23,0.23,21.46,2.05,3.42,1.6,1.6,2.74,0.68,11.87,2.97,1.83,0
UPS09,1,491,12.59,19.96,4.07,1.02,0.2,0.41,0,18.53,2.44,1.83,1.63,3.05,2.65,0.2,9.37,3.87,1.02,0
SOU15,1,559,29.42,22.36,2.5,0.36,0.18,0,0,20.57,4.11,2.5,1.07,2.15,1.43,0.36,11.81,2.15,5.55,0
LRE01,1,538,18.55,23.98,3.16,1.3,0.19,0.19,0.74,18.59,1.49,1.86,1.67,1.12,0.37,0.74,14.68,3.16,1.49,0
HES01,1,453,32.36,19.65,1.77,1.32,0.66,0.44,0.44,17.88,0,4.19,1.99,1.32,1.32,0.22,13.47,3.53,2.21,0
NOR08,1,432,12.34,27.31,4.63,0.93,0,0,0.46,21.06,2.78,4.63,1.85,3.01,1.85,0,10.42,2.78,2.08,0
LYO07,1,519,173,23.89,5.2,0.19,0,0,0.19,21.19,3.66,4.24,1.73,1.93,3.08,0.19,10.21,3.28,5.01,0
LDV04,1,609,20.3,23.81,3.94,3.45,0.49,2.3,0.33,18.06,1.48,2.13,1.64,1.97,2.79,0.99,12.32,1.64,3.28,0
BFC05,1,519,17.9,25.05,4.05,0.58,0.19,0,0.58,22.93,5.59,2.7,0.77,2.12,2.7,0.19,10.79,2.5,3.08,0
BRE12,1,374,17.81,24.33,0.8,1.87,0.8,1.07,0.27,4.55,0.27,0.8,0,0,1.34,0,1.07,2.14,0.27,0
NOR05,1,477,14.91,23.69,2.52,1.26,0,0.21,0.21,13.84,1.68,3.98,1.05,1.26,1.89,1.47,10.69,1.47,1.89,0
OCM08,1,454,17.46,23.13,2.64,0.88,0,0.22,0.22,17.4,2.42,3.08,2.64,1.1,2.2,0.88,10.13,3.3,1.1,0
LDV07,1,533,15.68,24.02,3.75,1.13,0,0.38,0.56,20.08,1.5,2.81,0.94,1.88,2.44,0.56,11.82,1.5,2.06,0
OCM14,1,552,15.33,19.57,5.07,1.63,0,0.54,1.09,23.73,3.8,1.99,1.45,3.62,3.08,0.36,10.69,5.25,2.72,0
BFC04,1,513,16.55,22.81,2.92,0.78,0.19,0,0.39,20.86,1.95,2.73,2.34,2.53,2.53,1.17,11.11,3.9,2.73,0
BFC06,1,561,21.58,27.99,4.28,0.18,0,0,0.18,17.65,1.78,3.21,0.89,1.6,1.96,0.53,9.98,2.5,1.43,0
SOU12,1,480,12.97,24.58,2.71,1.25,0.42,0,0.63,17.29,2.29,1.25,1.04,2.5,1.46,0,10.83,2.92,2.08,0
SOU07,1,568,13.21,22.01,1.58,0.88,0.53,0,0.18,20.6,3.7,3.52,2.64,3.17,1.94,0.53,9.15,3.52,2.99,0
UPS05,1,478,14.48,24.48,2.3,0.21,0,0,0.42,19.67,1.67,4.6,1.88,2.51,1.26,0.42,10.46,3.35,1.46,0
PES11,1,500,18.52,21.6,2,2.8,0.2,0,0,16.8,2.8,1,0.8,2.6,2,0.8,11.8,1.8,2.8,0
SOU06,1,597,17.56,24.62,3.85,1.17,0,0.17,0.5,21.11,2.18,3.85,1.68,1.68,1.51,0.5,12.4,2.85,3.69,0
SOU13,1,569,18.35,19.51,3.51,0.53,0.18,0,0,20.91,2.81,4.92,3.69,3.34,1.76,0.88,8.96,5.45,2.28,0
OCM16,1,563,18.16,16.16,4.62,1.24,0.36,0.36,0,22.91,3.91,2.13,3.2,1.78,4.8,1.07,9.06,4.62,2.66,0
ANT02,1,551,11.98,21.23,3.27,1.45,0.36,0,0.36,18.69,2.72,1.81,2.54,2,2.9,0.73,9.07,3.27,1.81,0
LDV08,1,513,18.32,22.03,4.29,1.36,0,0.39,0.39,20.27,2.14,2.73,2.34,2.14,2.92,0.39,11.7,3.51,2.92,0
PES09,1,556,17.94,23.56,2.7,0.9,0.18,0,0.36,16.37,1.62,2.34,1.08,1.08,1.08,0.72,10.07,1.62,1.8,0
CVL03,1,459,15.83,27.45,1.74,2.83,0.87,0.65,0.65,16.56,1.74,1.96,0.87,2.61,1.96,0.65,9.37,1.53,1.09,0
NOR06,1,534,11.87,19.85,1.87,1.5,0,0.19,0.56,16.67,1.69,2.62,1.87,1.31,1.12,0.19,10.3,2.25,3.75,0
LOR04,1,530,20.38,21.32,2.26,2.08,0.19,0.38,0.19,20.19,2.83,2.26,2.64,2.45,2.08,1.13,10.57,3.58,2.26,0
CVL02,1,571,17.84,22.59,2.1,1.93,0.35,0.88,0.18,22.24,3.5,4.38,1.58,2.1,2.98,0.35,10.16,2.45,3.15,0
POF04,1,570,17.27,26.67,2.46,0.35,0,0.18,0.18,16.49,2.11,2.46,2.28,1.93,2.28,0.53,8.95,2.81,1.93,0
BFC02,1,566,14.89,24.03,2.83,1.59,0,0.18,0.53,23.5,6.01,6.01,1.94,2.65,1.77,1.06,10.07,4.95,1.41,0
POF05,1,464,19.33,29.74,2.59,0.43,0,0,0.43,19.61,3.66,2.8,2.59,1.72,1.29,0.22,9.7,2.37,1.29,0
UPS12,1,519,16.22,26.2,3.08,1.54,0.39,0.19,0.39,17.53,3.47,2.7,1.54,1.93,1.35,2.12,8.29,2.7,1.54,0
BRE09,1,458,13.47,30.57,3.71,0.87,0.22,0,0,19.43,3.28,3.71,1.75,2.62,1.09,0,9.17,4.15,2.18,0
LYO10,1,564,14.46,22.87,2.66,0.89,0,0.18,0.35,19.68,2.3,3.37,1.42,1.95,1.95,0.71,10.28,3.01,1.6,0
CFE02,1,399,12.87,27.57,3.51,1.5,0,0.25,0.25,15.04,2.26,2.76,2.01,2.01,1,1.25,8.27,1.75,2.76,0
BRE05,1,717,13.28,18.97,2.93,1.53,0.28,0.42,0.56,19.25,3.07,2.23,2.51,2.37,1.95,0.14,10.74,4.04,2.09,0
SOU14,1,406,33.83,25.86,3.2,0.49,0,0,0.49,16.5,2.71,2.71,1.72,0.74,1.72,0.49,9.11,1.48,1.23,0
SOU01,1,590,16.39,22.37,2.37,1.02,0,0.17,0.34,20.51,4.24,3.22,2.03,1.19,2.71,0.51,10.51,2.71,2.03,0
SOU09,1,406,14.5,31.03,3.69,0.74,0.25,0,0.25,21.67,4.19,3.45,1.72,2.46,1.97,0.25,12.07,1.72,0.49,0
LOR09,1,445,17.8,22.92,3.6,0.67,0.22,0.22,0.45,16.85,1.57,2.92,0.22,1.35,1.12,1.35,11.24,1.12,2.02,0
GRE04,1,418,8.36,26.79,5.74,0.48,0,0,0.48,17.7,5.02,2.39,0.96,0.48,2.15,0,7.89,2.63,3.11,0
CFE04,1,573,20.46,24.43,1.57,2.09,0.17,0,1.22,20.94,2.97,4.89,2.27,0.87,3.32,1.75,10.12,3.66,2.09,0
LRE08,1,426,19.36,20.19,3.05,0.47,0.23,0,0,22.54,2.35,3.99,3.52,1.88,1.88,1.17,12.44,3.29,1.88,0
BFC08,1,494,24.7,26.92,3.24,0.81,0,0,0.2,21.46,3.04,2.63,2.43,1.01,1.82,0.81,12.15,3.04,2.23,0
LYO04,1,455,10.58,24.62,6.15,1.76,0.44,0.22,0,20.44,1.98,3.96,1.32,1.54,0.88,1.1,10.55,4.84,1.32,0
LRE09,1,443,15.28,23.93,3.16,1.81,0.23,0.9,0.23,17.38,3.16,3.61,1.81,1.13,1.58,0.45,7,1.35,2.71,0
SOU16,1,475,21.59,29.68,4.42,0.84,0,0,0,20.42,1.26,5.26,0.84,2.74,1.89,0.42,10.11,1.68,1.89,0
SOU03,1,491,13.27,24.24,4.07,0.81,0.41,0.2,0.2,18.53,2.04,2.65,1.22,1.02,2.44,0.41,12.02,2.24,1.43,0
ANT02,1,428,21.4,25.7,2.8,0.93,0,0.23,0.47,15.65,1.87,2.8,1.64,1.4,2.57,0.47,8.18,3.27,1.17,0
GRE14,1,565,17.12,26.37,2.65,1.42,0,0.18,0.71,20.53,3.19,3.72,2.48,1.95,2.83,0.18,11.5,2.3,3.89,0
LDV03,1,567,9.78,22.57,3.35,1.59,0.18,0.53,0.35,19.4,3,3,3,3,1.41,0.53,8.82,4.06,2.29,0
UPS07,1,463,15.97,22.03,4.97,0.65,0,0,0,23.76,3.02,4.1,1.3,1.51,3.67,1.08,14.04,3.02,1.94,0
ANT01,1,563,22.52,22.2,3.2,3.55,1.95,0.18,0.71,23.98,4.62,3.55,1.78,1.42,2.66,1.24,10.12,3.73,2.84,0
LYO05,1,589,21.04,27.67,3.23,1.53,0.51,0.34,0.51,21.56,4.41,3.4,2.38,3.4,1.7,0.51,9.51,3.06,2.21,0
BRE15,1,561,18.1,22.46,4.1,0.71,0,0.18,0,26.2,4.99,4.28,2.32,3.57,1.25,0.18,13.55,4.63,2.67,0
BRE07,1,406,15.04,26.85,1.97,1.48,0.74,0.25,0.25,23.15,7.14,1.72,2.22,3.2,0.49,0.49,10.34,4.43,2.22,0
LOR06,1,417,18.13,29.5,3.6,0.72,0.24,0.48,0,20.86,4.56,5.04,1.92,2.16,1.68,1.2,8.87,3.12,1.68,0
HES04,1,584,14.97,22.6,2.05,1.03,0.17,0,0,18.32,2.23,2.74,0.86,2.23,2.57,1.03,10.27,1.71,1.88,0
UPS06,1,461,12.81,21.48,2.39,2.6,0.22,1.3,0.65,20.39,2.39,3.47,2.17,1.95,3.04,1.3,11.28,3.04,1.95,0
POF03,1,639,19.97,20.5,1.88,0.94,0,0,0.16,21.13,2.66,2.35,2.03,2.5,0.94,0,11.11,3.29,3.13,0
OCM13,1,367,11.12,23.16,3,0.54,0,0,0,17.17,2.72,3.27,0.82,3.27,1.91,0.54,9.26,1.09,1.91,0
SOU04,1,548,14.05,22.63,4.74,0.55,0,0,0,17.7,2.19,2.01,2.01,2.37,1.46,0.18,10.22,4.56,5.11,0
SOU11,1,498,11.58,21.08,4.62,1.41,0.2,0.2,0,21.89,3.01,3.01,1.81,2.01,2.41,0.6,11.85,3.01,4.42,0
LRE10,1,521,12.71,27.26,4.41,1.34,0,0,0.38,22.26,3.65,4.99,1.15,1.15,2.5,0,10.75,1.92,1.92,0
ANT01,1,497,14.2,24.35,3.82,0.8,0.2,0.2,0,17.1,1.81,2.62,2.62,2.21,2.21,0,7.85,3.22,2.21,0
NOR04,1,446,24.78,26.68,2.47,1.79,0.67,0,0.45,21.97,4.04,2.69,1.35,2.24,1.79,0.45,11.66,2.69,2.47,0
HES02,1,569,14.59,22.85,2.46,0.53,0,0.18,0.18,20.39,2.81,3.51,1.93,1.93,1.05,1.05,11.25,2.99,2.46,0
CVL04,1,499,17.21,20.44,2.81,1.4,0,0,0.8,21.64,2.2,3.21,2.81,1.8,1.2,0.8,12.63,2.81,2.81,0
BRE03,1,649,14.75,25.12,3.24,0.62,0.15,0,0.15,16.02,2.62,3.08,0.92,1.85,1.85,0.62,9.86,1.39,2.47,0
GRE07,1,466,20.26,18.03,2.15,1.93,0,0.43,0.43,17.81,1.5,4.29,1.07,1.29,2.79,1.72,10.09,1.5,1.93,0
OCM05,1,608,12.16,22.2,2.47,0.99,0,0.49,0.16,16.78,3.29,1.64,1.48,1.97,2.14,0.49,9.7,2.47,3.29,0
BRE16,1,583,13.88,25.56,3.77,0.69,0,0.17,0.51,23.33,3.26,3.95,2.06,2.74,2.23,0.69,9.95,3.77,1.2,0
PES08,1,481,15.03,28.9,5.41,1.25,0,0,0,16.84,2.91,1.66,1.25,1.87,1.25,1.04,9.98,2.91,2.29,0
GRE03,1,430,14.83,29.07,5.12,3.02,0.47,0.23,0.93,22.56,5.35,3.26,1.4,1.63,2.56,0.47,12.56,4.65,1.86,0
SOU10,1,566,18.87,24.56,3.18,2.12,0,0.35,1.06,24.56,6.01,3.71,1.94,2.83,2.47,0.53,13.6,2.65,2.3,0
SOU05,1,482,14.61,22.82,3.94,0.62,0.41,0.21,0,18.67,3.32,1.04,1.87,2.28,2.49,1.04,9.54,3.11,1.66,0
GRE02,1,436,15.57,29.59,3.21,0.92,0,0.23,0.23,18.58,2.75,2.75,1.61,0.92,2.06,0.69,9.86,2.29,3.9,0
PES06,1,487,19.48,29.98,2.67,0.82,0.21,0,0.21,18.48,2.87,3.08,0.62,2.67,0.82,0.82,10.06,2.46,2.05,0
NOR03,1,659,15.69,20.18,3.34,1.06,0.3,0.76,0,17.6,1.37,2.58,3.19,3.03,2.43,0.46,9.56,3.34,1.37,0
UPS11,1,434,11.73,28.11,4.38,2.07,0,0.92,0.46,21.89,0.23,3.69,1.15,2.53,2.76,0.92,8.29,3.69,1.61,0
PES07,1,478,17.7,30.96,3.14,1.88,0,0.63,0.84,17.36,2.93,3.35,2.3,1.67,2.3,0.42,8.79,3.56,0.84,0
BRE02,1,527,18.82,24.1,3.42,0.57,0.38,0,0,19.54,2.85,3.42,2.85,1.9,2.47,0.76,8.35,4.36,1.71,0
NOR10,1,420,13.55,20.71,3.1,2.38,0.71,0.95,0.48,17.14,2.38,1.9,0.95,2.62,1.9,1.19,9.05,1.43,3.1,0
HES07,1,577,20.61,22.01,3.99,1.39,0.17,0.52,0.35,19.76,2.95,3.12,1.04,1.21,3.12,0.52,11.27,1.73,3.29,0
LDV09,1,489,18.11,22.7,2.04,1.23,0.2,0.41,0.2,17.79,2.04,3.68,2.04,2.04,1.23,1.23,9.2,2.25,2.66,0
OCM09,1,504,14.4,21.03,4.96,1.79,0.4,0.4,0.79,18.25,0.99,2.78,2.38,1.98,1.19,1.19,11.31,4.76,1.39,0
LRE05,1,520,21.67,22.12,1.15,0.96,0.19,0.19,0,19.42,2.5,3.85,2.69,2.5,1.15,0.96,11.92,3.27,0.19,0
BFC03,1,337,17.74,22.26,4.45,0.89,0,0,0.3,21.66,4.75,1.78,2.08,0.89,2.97,0.59,9.2,5.04,0.89,0
LRE04,1,537,17.9,22.72,3.54,0.93,0.19,0.19,0.37,18.99,1.86,1.68,2.61,1.86,1.68,0.19,10.8,3.54,1.49,0
BRE10,1,597,22.96,22.28,4.19,0.5,0.17,0.17,0,22.61,2.35,2.01,1.34,2.35,3.18,1.17,13.74,2.68,1.84,0
HES03,1,381,17.32,21.52,4.2,1.31,0,0,0.26,22.31,1.05,3.15,2.1,2.36,2.36,0.26,9.97,3.94,2.89,0
CVL01,1,414,23,18.12,4.83,2.17,0.72,0,0.48,21.98,4.59,2.66,3.62,1.45,1.21,0,12.8,4.11,2.9,0
LDV02,1,655,15.23,21.22,3.66,1.22,0.46,0,0.31,17.86,2.29,2.14,2.44,1.68,2.29,0.92,9.31,2.9,1.53,0
UPS15,1,504,16.26,24.4,2.38,2.78,0.2,0.99,0.79,20.04,2.18,3.37,2.38,2.38,2.38,0.6,10.71,2.98,2.98,0
LYO14,1,528,17.03,22.54,2.84,0.76,0,0.19,0.19,20.08,2.84,5.68,1.14,1.89,0.57,0.95,10.8,2.08,2.27,0
LOR08,1,524,17.47,22.33,2.29,1.72,0,0,0.95,18.89,3.05,3.82,2.67,2.1,1.72,0.38,7.44,3.24,1.72,0
LYO09,1,584,17.7,21.4,3.25,2.05,0,0.86,0.68,20.89,2.23,2.91,3.08,2.74,2.74,1.37,12.84,4.11,1.88,0
SOU02,1,537,10.74,18.44,1.68,0.93,0.19,0,0.93,10.99,1.86,0.56,1.3,0.93,1.12,0.19,7.45,1.49,3.72,0
GRE01,1,495,20.63,24.24,4.85,1.21,0.2,0.61,0.61,19.19,4.04,3.23,1.62,1.82,2.83,0.81,10.71,2.42,1.82,0
OCM04,1,530,16.06,20.75,3.4,0.94,0,0.57,0.19,20,3.02,2.83,2.83,2.64,1.13,0.19,8.3,5.09,2.08,0
